"name","maps_url","phone","website","type","rating","reviews","price","address","hours","description","review","image_url"
"Dr Momina Amjad Dental Consultant","https://www.google.com/maps/place/Dr+Momina+Amjad+Dental+Consultant/data=!4m7!3m6!1s0x391905004e254b59:0x1c375f0d879022dd!8m2!3d31.5667795!4d74.4003627!16s%2Fg%2F11x5jb37s2!19sChIJWUslTgAFGTkR3SKQhw1fNxw?authuser=0&amp;hl=en&amp;rclk=1","'03334323360","","","5.0","","","","","","",""
"Dr. Zeeshan Tahir - Dentist","https://www.google.com/maps/place/Dr.+Zeeshan+Tahir+-+Dentist/data=!4m7!3m6!1s0x39190548e2babea9:0xf7a010d711874c9f!8m2!3d31.4728291!4d74.3244772!16s%2Fg%2F11jrwhfdxn!19sChIJqb664kgFGTkRn0yHEdcQoPc?authuser=0&amp;hl=en&amp;rclk=1","'03154077259","http://www.drzeeshantahir.com/","","5.0","","","","Closed · Opens 12 PM Mon · +92 315 4077259WebsiteDirections","Mon · +92 315 4077259WebsiteDirections","",""
"Best Dental Clinic","https://www.google.com/maps/place/Best+Dental+Clinic/data=!4m7!3m6!1s0x206e510a7199ba03:0x30b0ed91b5e5a35a!8m2!3d31.533782!4d74.3319176!16s%2Fg%2F11vplxfh9w!19sChIJA7qZcQpRbiARWqPltZHtsDA?authuser=0&amp;hl=en&amp;rclk=1","'03144317775","http://bestdentallahore.pk/","","5.0","","","","Closed · Opens 5:30 PM Mon · +92 314 4317775WebsiteDirections","Mon · +92 314 4317775WebsiteDirections","",""
"iDentist","https://www.google.com/maps/place/iDentist/data=!4m7!3m6!1s0x3919058b65c2f889:0x73d0d796901a9bb9!8m2!3d31.4886917!4d74.3269528!16s%2Fg%2F11g072fh8c!19sChIJifjCZYsFGTkRuZsakJbX0HM?authuser=0&amp;hl=en&amp;rclk=1","'03078333600","https://oladoc.com/pakistan/lahore/dr/dentist/hira-anees/268906","","4.9","","","","Closed · Opens 3:30 PM Mon · +92 307 8333600WebsiteDirections","Mon · +92 307 8333600WebsiteDirections","",""
"Dental Clinic Lahore by Dr Ayesha Dentist doctor","https://www.google.com/maps/place/Dental+Clinic+Lahore+by+Dr+Ayesha+Dentist+doctor/data=!4m7!3m6!1s0x391903e91cf4893f:0x113a2c03fe92fc44!8m2!3d31.4732152!4d74.2591497!16s%2Fg%2F11rxxjh5gc!19sChIJP4n0HOkDGTkRRPyS_gMsOhE?authuser=0&amp;hl=en&amp;rclk=1","'03104339470","https://drayeshaayubdentalsurgeon.com/","","4.9","","","","Closed · Opens 4 PM Mon · +92 310 4339470WebsiteDirections","Mon · +92 310 4339470WebsiteDirections","",""
"Dr M/M Rehman's🦷32 Dental Clinic and Implant center🦷  4.7Dentist · At U-turn, Gate#4, 2 Street 2, opposite DHA RahbarOpen 24 hours · +92 300 4964111WebsiteDirections","https://www.google.com/maps/place/Dr+M%2FM+Rehman%27s%F0%9F%A6%B732+Dental+Clinic+and+Implant+center%F0%9F%A6%B7/data=!4m7!3m6!1s0x3919015e1dbd5899:0x3a1cd2aad93f2fd1!8m2!3d31.3887287!4d74.273577!16s%2Fg%2F11q7fxm6xk!19sChIJmVi9HV4BGTkR0S8_2arSHDo?authuser=0&amp;hl=en&amp;rclk=1","'03004964111","http://www.facebook.com/profile.php?id=100069922012977","","4.7","","","","","","",""
"32 Dental Care & Implant Center  4.6Dental clinic ·  · 153Open 24 hours · +92 331 4969588WebsiteDirections","https://www.google.com/maps/place/32+Dental+Care+%26+Implant+Center/data=!4m7!3m6!1s0x39190352729ab06f:0x1ed88b610fbf8f39!8m2!3d31.483717!4d74.3082615!16s%2Fg%2F11f6bd_h7s!19sChIJb7CaclIDGTkROY-_D2GL2B4?authuser=0&amp;hl=en&amp;rclk=1","'03314969588","https://m.facebook.com/Dr-Mannans-32-Dental-Care-Implant-Center-231224110999218/?tsid=0.7443344203100954&source=result","","4.6","","","","","","",""
"Lahore Dental Care - Dentist Dr. Hasnain Nizami","https://www.google.com/maps/place/Lahore+Dental+Care+-+Dentist+Dr.+Hasnain+Nizami/data=!4m7!3m6!1s0x3919036964cdabcb:0x8f86735bb162dccf!8m2!3d31.5387302!4d74.3058654!16s%2Fg%2F11rscvbbwl!19sChIJy6vNZGkDGTkRz9xisVtzho8?authuser=0&amp;hl=en&amp;rclk=1","'03333214226","https://lahoredentalcare.com/","","4.9","","","","Closed · Opens 12:30 PM · +92 333 3214226WebsiteDirections","+92 333 3214226WebsiteDirections","",""
"DH Dental Clinic","https://www.google.com/maps/place/DH+Dental+Clinic/data=!4m7!3m6!1s0x391903f65a493557:0xac3bd7abf4ce6153!8m2!3d31.4797571!4d74.2804939!16s%2Fg%2F11f5_hczhv!19sChIJVzVJWvYDGTkRU2HO9KvXO6w?authuser=0&amp;hl=en&amp;rclk=1","'03223368251","http://www.dh.dental/","","4.9","","","1 Canal Rd","Closed · Opens 10 AM Mon · +92 322 3368251WebsiteDirections","Mon · +92 322 3368251WebsiteDirections","",""
"Laser Dental Solutions and implant center by Dr Abid Naeem","https://www.google.com/maps/place/Laser+Dental+Solutions+and+implant+center+by+Dr+Abid+Naeem/data=!4m7!3m6!1s0x391903dddd46c803:0x5d856ffc52739ba1!8m2!3d31.4704319!4d74.2741102!16s%2Fg%2F11hc2f_pw6!19sChIJA8hG3d0DGTkRoZtzUvxvhV0?authuser=0&amp;hl=en&amp;rclk=1","'03344229786","http://fb.com/","","5.0","188","","","","","Best Experience of wisdom tooth extraction with painless anesthesia pen.",""
"Askari Dental Care (Implant & Aesthetic centre)","https://www.google.com/maps/place/Askari+Dental+Care+%28Implant+%26+Aesthetic+centre%29/data=!4m7!3m6!1s0x39190f82d5363d65:0xcafb9de667b64052!8m2!3d31.5334502!4d74.4087039!16s%2Fg%2F11p041v7vf!19sChIJZT021YIPGTkRUkC2Z-ad-8o?authuser=0&amp;hl=en&amp;rclk=1","'03360104751","http://www.askaridentalcare.com/","","4.6","","","","","","",""
"Dental Square","https://www.google.com/maps/place/Dental+Square/data=!4m7!3m6!1s0x3919019c0bd886d1:0x43dbd55f442ffac2!8m2!3d31.4552758!4d74.2200022!16s%2Fg%2F11frnkn6vr!19sChIJ0YbYC5wBGTkRwvovRF_V20M?authuser=0&amp;hl=en&amp;rclk=1","'03358706212","https://dentalsquare.com.pk/","","4.9","","","","Closed · Opens 7 PM Mon · +92 335 8706212WebsiteDirections","Mon · +92 335 8706212WebsiteDirections","",""
"Al-Fatima Dental Clinic","https://www.google.com/maps/place/Al-Fatima+Dental+Clinic/data=!4m7!3m6!1s0x39190122faedf8e9:0xe612312193ad8e9d!8m2!3d31.442584!4d74.2549931!16s%2Fg%2F11sr1krq8y!19sChIJ6fjt-iIBGTkRnY6tkyExEuY?authuser=0&amp;hl=en&amp;rclk=1","'03274945469","","","5.0","","","","Open · Closes 3 AM · +92 327 4945469Directions","+92 327 4945469Directions","",""
"OraDent Clinic","https://www.google.com/maps/place/OraDent+Clinic/data=!4m7!3m6!1s0x391904f0a81ca367:0x47a916f71a5a9761!8m2!3d31.5272865!4d74.3478621!16s%2Fg%2F11xdpvfm7!19sChIJZ6McqPAEGTkRYZdaGvcWqUc?authuser=0&amp;hl=en&amp;rclk=1","'03224662470","http://www.oradentclinic.com/","","4.8","","","","Closed · Opens 12 PM · +92 322 4662470WebsiteDirections","+92 322 4662470WebsiteDirections","",""
"Hafiz dental clinic","https://www.google.com/maps/place/Hafiz+dental+clinic/data=!4m7!3m6!1s0x3919055b5f5684f7:0x9fcf070ee8bf9e2a!8m2!3d31.4891437!4d74.369171!16s%2Fg%2F11lh6dwng5!19sChIJ94RWX1sFGTkRKp6_6A4Hz58?authuser=0&amp;hl=en&amp;rclk=1","'048.8945656","","","4.9","","","","Closed · Opens 5 PMDirections","Directions","",""
"CURE N CARE DENTAL CENTRE","https://www.google.com/maps/place/CURE+N+CARE+DENTAL+CENTRE/data=!4m7!3m6!1s0x391903db15712a6b:0x1261fecf009d696e!8m2!3d31.4752214!4d74.2808619!16s%2Fg%2F11cnpjdgfh!19sChIJaypxFdsDGTkRbmmdAM_-YRI?authuser=0&amp;hl=en&amp;rclk=1","'048.8945656","https://curencaredentalcenter.com/","","4.9","","","","Closed · Opens 5 PMWebsiteDirections","WebsiteDirections","",""
"Dental Clinic by Dr Bilal","https://www.google.com/maps/place/Dental+Clinic+by+Dr+Bilal/data=!4m7!3m6!1s0x39190382b939c9a7:0x36b195da3c200cf!8m2!3d31.4685953!4d74.2664433!16s%2Fg%2F11lgqk9_jt!19sChIJp8k5uYIDGTkRzwDCo10ZawM?authuser=0&amp;hl=en&amp;rclk=1","'03316018700","https://dentistdrbilal.com/","","4.9","","","","Closed · Opens 11 AM Mon · +92 331 6018700WebsiteDirections","Mon · +92 331 6018700WebsiteDirections","",""
"Tooth Care Dental Practice","https://www.google.com/maps/place/Tooth+Care+Dental+Practice/data=!4m7!3m6!1s0x39190916c8b320db:0x199e98f20aa72442!8m2!3d31.4611461!4d74.4135301!16s%2Fg%2F11q2w_52_j!19sChIJ2yCzyBYJGTkRQiSnCvKYnhk?authuser=0&amp;hl=en&amp;rclk=1","'03090881010","https://toothcaredentalpractice.com/","","5.0","","","","Closed · Opens 7:30 PM · +92 309 0881010WebsiteDirections","+92 309 0881010WebsiteDirections","",""
"FAMILY DENTAL CLINIC- Lahore","https://www.google.com/maps/place/FAMILY+DENTAL+CLINIC-+Lahore/data=!4m7!3m6!1s0x3919068fb0498737:0x32a0ed51666f1507!8m2!3d31.4607592!4d74.3492135!16s%2Fg%2F11g6xs1ftt!19sChIJN4dJsI8GGTkRBxVvZlHtoDI?authuser=0&amp;hl=en&amp;rclk=1","'04235805500","https://familydentallahore.com/","","4.8","","","","Closed · Opens 12:30 PM Mon · +92 42 35805500WebsiteDirections","ILY DENTAL CLINIC- Lahore  4.8Dentist ·  · Flat # 3, 1st Floor, Lahore – Kasur Rd, beside qainchi FlyoverClosed · Opens 12:30 PM Mon · +92 42 35805500WebsiteDirections","",""
"Cavalry Dental Care","https://www.google.com/maps/place/Cavalry+Dental+Care/data=!4m7!3m6!1s0x391905ba6e16d591:0x41db34e599450dc8!8m2!3d31.5019115!4d74.3618893!16s%2Fg%2F11t6zdgydq!19sChIJkdUWbroFGTkRyA1FmeU020E?authuser=0&amp;hl=en&amp;rclk=1","'048.8945656","","","4.9","","","","Closed · Opens 3:30 PM MonDirections","MonDirections","",""
"Ideal Smile Dentistry","https://www.google.com/maps/place/Ideal+Smile+Dentistry/data=!4m7!3m6!1s0x3919066d9ff4cf65:0x81f881a47c69baac!8m2!3d31.4643445!4d74.3859928!16s%2Fg%2F11bwn2w9gn!19sChIJZc_0n20GGTkRrLppfKSB-IE?authuser=0&amp;hl=en&amp;rclk=1","'03234000101","https://www.idealsmiledentistry.pk/","","4.7","","","","Closed · Opens 12 PM Mon · +92 323 4000101WebsiteDirections","Mon · +92 323 4000101WebsiteDirections","",""
"Ali Dental Associates","https://www.google.com/maps/place/Ali+Dental+Associates/data=!4m7!3m6!1s0x391905dda5ee91cb:0x37b60431c8f30287!8m2!3d31.5667823!4d74.4004433!16s%2Fg%2F11w28fnd9y!19sChIJy5Hupd0FGTkRhwLzyDEEtjc?authuser=0&amp;hl=en&amp;rclk=1","'03347804477","http://www.alidentalassociates.com/","","4.8","","","","Closed · Opens 12 AM Mon · +92 334 7804477WebsiteDirections","Mon · +92 334 7804477WebsiteDirections","",""
"Lá Dental Aésthetique","https://www.google.com/maps/place/L%C3%A1+Dental+A%C3%A9sthetique/data=!4m7!3m6!1s0x39190596e961009d:0x6da3b4333f59a50a!8m2!3d31.5421269!4d74.3302183!16s%2Fg%2F11thlc_tlj!19sChIJnQBh6ZYFGTkRCqVZPzO0o20?authuser=0&amp;hl=en&amp;rclk=1","'03368960000","https://ladentalaesthetique.com/","","4.8","","","78 Jail Rd","Closed · Opens 3 PM · +92 336 8960000WebsiteDirections","+92 336 8960000WebsiteDirections","",""
"Dream Smile Dental Clinic","https://www.google.com/maps/place/Dream+Smile+Dental+Clinic/data=!4m7!3m6!1s0x3918ff1edf45006b:0xace9556b6ee4adad!8m2!3d31.369259!4d74.1869182!16s%2Fg%2F11hgn83j4b!19sChIJawBF3x7_GDkRra3kbmtV6aw?authuser=0&amp;hl=en&amp;rclk=1","'03254888111","","","4.8","","","","Closed · Opens 6:30 PM · +92 325 4888111Directions","+92 325 4888111Directions","",""
"Innovodent dental clinic Dr Talal & associates","https://www.google.com/maps/place/Innovodent+dental+clinic+Dr+Talal+%26+associates/data=!4m7!3m6!1s0x39191d83007968c3:0xb8ee717e568cdddd!8m2!3d31.5631048!4d74.2800157!16s%2Fg%2F11gtg5sc3w!19sChIJw2h5AIMdGTkR3d2MVn5x7rg?authuser=0&amp;hl=en&amp;rclk=1","'03188421992","https://www.facebook.com/innovoDent?mibextid=ZbWKwL","","4.9","","","","Closed · Opens 4 PM Mon · +92 318 8421992WebsiteDirections","Mon · +92 318 8421992WebsiteDirections","",""
"DentX Dental & Physiotherapy Clinic","https://www.google.com/maps/place/DentX+Dental+%26+Physiotherapy+Clinic/data=!4m7!3m6!1s0x391901813b8abbcf:0x31f79f4d6f01115f!8m2!3d31.4196801!4d74.2627963!16s%2Fg%2F11rzqbtqhq!19sChIJz7uKO4EBGTkRXxEBb02f9zE?authuser=0&amp;hl=en&amp;rclk=1","'03001750502","https://thedentxclinic.com/","","5.0","","","","Closed · Opens 11 AM · +92 300 1750502WebsiteDirections","+92 300 1750502WebsiteDirections","",""
"Ghani Dental Care","https://www.google.com/maps/place/Ghani+Dental+Care/data=!4m7!3m6!1s0x391905da68e06649:0x5569bbe6b4fe8a77!8m2!3d31.4762025!4d74.336153!16s%2Fg%2F11ldkp88pq!19sChIJSWbgaNoFGTkRd4r-tOa7aVU?authuser=0&amp;hl=en&amp;rclk=1","'03334984980","http://www.gdclahore.com/","","5.0","","","","Closed · Opens 4 PM Mon · +92 333 4984980WebsiteDirections","Mon · +92 333 4984980WebsiteDirections","",""
"Aamir Dental Surgery Bahria Town","https://www.google.com/maps/place/Aamir+Dental+Surgery+Bahria+Town/data=!4m7!3m6!1s0x3918ff0f3769ba07:0x46359a72bf950ab7!8m2!3d31.3754019!4d74.185311!16s%2Fg%2F11j9ftl_pt!19sChIJB7ppNw__GDkRtwqVv3KaNUY?authuser=0&amp;hl=en&amp;rclk=1","'03164707303","https://adsdentalgroup.pk/","","4.9","","","","Closed · Opens 12 PM Mon · +92 316 4707303WebsiteDirections","Mon · +92 316 4707303WebsiteDirections","",""
"Crystal Skin and Dental Aesthetic Clinic - Best Skin Specialist in Lahore - Dentist in Lahore","https://www.google.com/maps/place/Crystal+Skin+and+Dental+Aesthetic+Clinic+-+Best+Skin+Specialist+in+Lahore+-+Dentist+in+Lahore/data=!4m7!3m6!1s0x391905bb60dfd911:0x4d12889f57644fee!8m2!3d31.5031671!4d74.3322541!16s%2Fg%2F11myjrr_7l!19sChIJEdnfYLsFGTkR7k9kV5-IEk0?authuser=0&amp;hl=en&amp;rclk=1","'03324654408","https://raw4y.my.canva.site/dental-clinic","","5.0","","","3 Ferozepur Road","","","",""
"DENTAL HOUSE","https://www.google.com/maps/place/DENTAL+HOUSE/data=!4m7!3m6!1s0x391903dbad150c11:0xeb225f680a7101a2!8m2!3d31.4734692!4d74.2795868!16s%2Fg%2F11c20892dm!19sChIJEQwVrdsDGTkRogFxCmhfIus?authuser=0&amp;hl=en&amp;rclk=1","'03454114240","https://www.instagram.com/dentalhouse_pakistan/","","5.0","","","","Closed · Opens 7 PM · +92 345 4114240WebsiteDirections","+92 345 4114240WebsiteDirections","",""
"Tooth Care Experts","https://www.google.com/maps/place/Tooth+Care+Experts/data=!4m7!3m6!1s0x391904bd85f18ccb:0xe73e2bc49074483c!8m2!3d31.5390064!4d74.3276515!16s%2Fg%2F11c3kql14r!19sChIJy4zxhb0EGTkRPEh0kMQrPuc?authuser=0&amp;hl=en&amp;rclk=1","'03214761002","http://www.toothcareexperts.com/","","4.8","","","","Closed · Opens 5 PM Mon · +92 321 4761002WebsiteDirections","Mon · +92 321 4761002WebsiteDirections","",""
"ULTRA SMILE DENTAL SURGERY","https://www.google.com/maps/place/ULTRA+SMILE+DENTAL+SURGERY/data=!4m7!3m6!1s0x3918fdb6505135d7:0xa392395cb9ff09bd!8m2!3d31.456521!4d74.2020614!16s%2Fg%2F11jzc0mwz2!19sChIJ1zVRULb9GDkRvQn_uVw5kqM?authuser=0&amp;hl=en&amp;rclk=1","'03000890606","https://ultrasmileaesthetics.com/","","4.8","","","","Closed · Opens 3 PM Mon · +92 300 0890606WebsiteDirections","Mon · +92 300 0890606WebsiteDirections","",""
"Dental Precision","https://www.google.com/maps/place/Dental+Precision/data=!4m7!3m6!1s0x391901dea1531113:0x6d6a9100384152bc!8m2!3d31.4431349!4d74.2604424!16s%2Fg%2F11q9m5ljng!19sChIJExFTod4BGTkRvFJBOACRam0?authuser=0&amp;hl=en&amp;rclk=1","'03251000111","https://www.dentalprecision.pk/","","4.9","","","","Closed · Opens 4 PM · +92 325 1000111WebsiteDirections","+92 325 1000111WebsiteDirections","",""
"Tru Smile Dental","https://www.google.com/maps/place/Tru+Smile+Dental/data=!4m7!3m6!1s0x391907778561fc3d:0xbef523953804bde!8m2!3d31.4689595!4d74.4526011!16s%2Fg%2F11smmjtb8x!19sChIJPfxhhXcHGTkR3kuAUzlS7ws?authuser=0&amp;hl=en&amp;rclk=1","'03223777383","https://trusmilelahore.com/","","5.0","","","","Closed · Opens 3 PM Mon · +92 322 3777383WebsiteDirections","Mon · +92 322 3777383WebsiteDirections","",""
"Waqas Medical and Dental Clinic","https://www.google.com/maps/place/Waqas+Medical+and+Dental+Clinic/data=!4m7!3m6!1s0x391901c443822e9f:0x5baa66b88136611d!8m2!3d31.4329943!4d74.3070841!16s%2Fg%2F11tj6mrrx2!19sChIJny6CQ8QBGTkRHWE2gbhmqls?authuser=0&amp;hl=en&amp;rclk=1","'03214488421","","","5.0","","","644 Hassan Basri Rd","Closed · Opens 11 AM Mon · +92 321 4488421Directions","Mon · +92 321 4488421Directions","",""
"Aamir's Dental Surgery","https://www.google.com/maps/place/Aamir%27s+Dental+Surgery/data=!4m7!3m6!1s0x391904915e3b1203:0xe5e82f870940dc0a!8m2!3d31.5312069!4d74.3286897!16s%2Fg%2F11xdtrkgb!19sChIJAxI7XpEEGTkRCtxACYcv6OU?authuser=0&amp;hl=en&amp;rclk=1","'04235403631","http://www.aamirsdentalsurgery.com/","","4.7","","","","Closed · Opens 10:30 AM Mon · +92 42 35403631WebsiteDirections","Mon · +92 42 35403631WebsiteDirections","",""
"Perfect Teeth","https://www.google.com/maps/place/Perfect+Teeth/data=!4m7!3m6!1s0x3919017cec500863:0x872ca58b911c1992!8m2!3d31.4613125!4d74.2746875!16s%2Fg%2F11c30xx2jm!19sChIJYwhQ7HwBGTkRkhkckYulLIc?authuser=0&amp;hl=en&amp;rclk=1","'03207373328","http://www.perfectteeth.com.pk/","","4.8","","","","Closed · Opens 5 PM Mon · +92 320 7373328WebsiteDirections","Mon · +92 320 7373328WebsiteDirections","",""
"Serene Dental Aesthetics","https://www.google.com/maps/place/Serene+Dental+Aesthetics/data=!4m7!3m6!1s0x39190324d2d49c3d:0x8d0a8e1e02301574!8m2!3d31.3687865!4d74.2409045!16s%2Fg%2F11sbp_wtv6!19sChIJPZzU0iQDGTkRdBUwAh6OCo0?authuser=0&amp;hl=en&amp;rclk=1","'03302737363","","","5.0","","","","Closed · Opens 7 PM Mon · +92 330 2737363Directions","Mon · +92 330 2737363Directions","",""
"Dental Wellness","https://www.google.com/maps/place/Dental+Wellness/data=!4m7!3m6!1s0x391902289f74cbc1:0xd41d5f945e87cb47!8m2!3d31.4669583!4d74.2528749!16s%2Fg%2F11b8t6hltk!19sChIJwct0nygCGTkRR8uHXpRfHdQ?authuser=0&amp;hl=en&amp;rclk=1","'03214437371","http://www.facebook.com/dentalwellness385","","4.8","","","","Closed · Opens 3 PM Mon · +92 321 4437371WebsiteDirections","Mon · +92 321 4437371WebsiteDirections","",""
"Dentology Dental Clinic","https://www.google.com/maps/place/Dentology+Dental+Clinic/data=!4m7!3m6!1s0x3919016cf0076b0f:0x22fc1110b0ef2da8!8m2!3d31.4459174!4d74.2805142!16s%2Fg%2F11f_m0532t!19sChIJD2sH8GwBGTkRqC3vsBAR_CI?authuser=0&amp;hl=en&amp;rclk=1","'04235463979","https://www.dentologydentalclinic.com/","","4.8","","","","Closed · Opens 1 PM Mon · +92 42 35463979WebsiteDirections","Mon · +92 42 35463979WebsiteDirections","",""
"Alina Dental clinics, Orthodontics and Implantology center","https://www.google.com/maps/place/Alina+Dental+clinics,+Orthodontics+and+Implantology+center/data=!4m7!3m6!1s0x39190100a1e3047d:0x49ea4bc6c69456d!8m2!3d31.4237969!4d74.2651584!16s%2Fg%2F1tz74c43!19sChIJfQTjoQABGTkRbUVpbLykngQ?authuser=0&amp;hl=en&amp;rclk=1","'03111248888","http://www.alinadentalclinic.com/","","4.8","","","","Closed · Opens 12 PM Mon · +92 311 1248888WebsiteDirections","Mon · +92 311 1248888WebsiteDirections","",""
"The Smile Studio Dental Clinic","https://www.google.com/maps/place/The+Smile+Studio+Dental+Clinic/data=!4m7!3m6!1s0x391907c310d3aabd:0x11d08273376d9498!8m2!3d31.4715881!4d74.372977!16s%2Fg%2F11fn0d1w4h!19sChIJvarTEMMHGTkRmJRtN3OC0BE?authuser=0&amp;hl=en&amp;rclk=1","'03214461306","https://smiledentalpk.com/","","4.9","","","","Closed · Opens 2 PM Mon · +92 321 4461306WebsiteDirections","Mon · +92 321 4461306WebsiteDirections","",""
"ideal dental clinic","https://www.google.com/maps/place/ideal+dental+clinic/data=!4m7!3m6!1s0x3918ff7cf28a4cf3:0xe76e1e6d85b8e587!8m2!3d31.4065368!4d74.1918476!16s%2Fg%2F11shy0fqcd!19sChIJ80yK8nz_GDkRh-W4hW0ebuc?authuser=0&amp;hl=en&amp;rclk=1","'03004755755","","","4.9","","","","Closed · Opens 9 AM · +92 300 4755755Directions","+92 300 4755755Directions","",""
"DR HAMZA DENTAL CENTRE","https://www.google.com/maps/place/DR+HAMZA+DENTAL+CENTRE/data=!4m7!3m6!1s0x391903aa48a1f155:0x3a1168341ecb014f!8m2!3d31.5132789!4d74.2926406!16s%2Fg%2F11ny31wjf8!19sChIJVfGhSKoDGTkRTwHLHjRoETo?authuser=0&amp;hl=en&amp;rclk=1","'03000479820","https://hamzadentalcentre.com/?utm_source=GBP&utm_medium=GBPWebLink&utm_campaign=DrhamzaGBP","","4.8","","","","Closed · Opens 2:30 PM Mon · +92 300 0479820WebsiteDirections","ZA DENTAL CENTRE  4.8Dental clinic · 361Closed · Opens 2:30 PM Mon · +92 300 0479820WebsiteDirections","",""
