name,phone,address,website,open_status,plus_code,rating,review_count,facebook_url,total_ads,active_ads
Smiling Teeth Dental Clinic,03237700441,"F32P+776, Afshan Colony Faisalabad, Pakistan",http://smilingteeth.net/,Open · Closes 5 PM,,4.9,26.0,,0,0
Crown Dental Aesthetics & Implant Clinic,03117171616,"Iqbal Stadium, Civil Lines, Faisalabad, 38000, Pakistan",,Opens soon · 4 PM,"C3MP+PJ Faisalabad, Pakistan",5.0,15.0,https://www.facebook.com/crowncaredentist,0,0
Best Dentist Faisalabad Dr Fabiha Farooq,03247629039,"Prime Care Hospital, Susan Road, Madina Town, Faisalabad, Pakistan",,Open · Closes 10 PM,"C4GG+RW Faisalabad, Pakistan",5.0,55.0,,,
HASAAN DENTAL CLINIC,03436890652,"Muhammadi Chowk, Rehman Shaheed Rd, Block X Madina Town, Faisalabad, 38000, Pakistan",,Open · Closes 11 PM,"C4FH+CF Faisalabad, Pakistan",4.9,14.0,,,
Al Hadi Medical and Dental Complex,03322200934,"16 H Raja Rd, Block H Gulistan Colony, Faisalabad, Pakistan",,Open · Closes 9 PM,"C3WX+9G Faisalabad, Pakistan",4.8,33.0,,,
"Implant & Dental Art (Dr. Sajid Sohail, Dr. Abdul Moeed & Dr. Rabia Moeed)",03336503468,"409/A, People's Colony #1, Small، A, D Ground Faisalabad, 38000, Pakistan",http://idart.org.pk/,Open · Closes 7 PM,"C484+5R Faisalabad, Pakistan",4.5,47.0,,,
Orodental Implant & Surgical Center,0412614000,"Umar Hospital, Race Course Rd, Civil Lines, Faisalabad, Pakistan",,Open · Closes 8 PM,,,,,,
Dental One,03075559444,"Punjab, near sja spa & salon, Pilot Ground Block B People's Colony No 1, Faisalabad, 38000, Pakistan",,Open · Closes 9 PM,"C473+77 Faisalabad, Pakistan",4.7,19.0,,,
"Dr Shahid, Female /Lady Dr Shazia, Dental Surgery, fixed braces /dental implants, Dentist clinic,clear braces, Faisalabad",0412623315,"Imam Bargah Road / main road, near Ideal Sweets 339 jinnah colony imam barghah road، main road Tanky road/,Hajveri road, Faisalabad, 38000, Pakistan",,,"C3C7+HW Faisalabad, Pakistan",4.9,16.0,,,
DOCTOR TEETH CLINC,03216739504,"Ajmal Center, near Nadra Executive Office, opp. Gourmet Bakers, Batala Colony Faisalabad, Pakistan",https://www.doctorteethclinic.com/,,,5.0,30.0,,,
Iqbal Dental Clinic,03216652656,"P-10 Sargodha Rd, opp. Crescent Textile Mills, near Allied turn, Usman Colony Afshan Colony, Faisalabad, Pakistan",,Open · Closes 8 PM,"C3XP+Q2 Faisalabad, Pakistan",4.0,9.0,,,
Farida Naseem Family Dental Care (FNDC),03127055921,"town, F35J+WXH Sargodha Road opposite super ideal sweets and bakers muslim, 1, Faisalabad, 38000, Pakistan",,Open · Closes 10:30 PM,,5.0,18.0,,,
Smile Dental Care by Dr Mateen,03700942702,"Block A D Type Colony Rd, near Nagina Bakery, Block A Samanabad, Faisalabad, 38000, Pakistan",,Open · Closes 10 PM,"93MC+W9 Faisalabad, Pakistan",5.0,23.0,,,
Muhammad Umar Dental Care,03416447678,"C38C+HR6 Infront of, near al noor hospital, Douglas Pura Dhobi Ghat, Faisalabad, Pakistan",,Open · Closes 9 PM,,,,,,
S'Dent Clinic,03067861142,"364-A, Millat chowk Lahore - Sheikhupura - Faisalabad Rd, Gulistan Colony No.2 Faisalabad, Pakistan",,Closed · Opens 5 PM,"C3WW+R4 Faisalabad, Pakistan",4.7,58.0,,,
Dr umar Dental & facial esthetic clinic,03346631002,"1st floor Chinot hospital 209, near Gc university, Jinnah Colony, Faisalabad, 38000, Pakistan",https://fb.watch/ij9PYuYkib/?mibextid=LROouL,Closed · Opens 5 PM,"C397+3X Faisalabad, Pakistan",4.5,65.0,,,
Health360 Jinnah Colony (Aesthetic and Physiotherapy) Faisalabad,03111123360,"42, Jinnah Colony, Faisalabad, 38000, Pakistan",https://health360.pk/locations/jinnah-colony-faisalabad/,Open · Closes 10 PM,,4.9,371.0,,,
Advance 3D CBCT and Dental OPG,03338387303,"C3VJ+GPH, Jail Rd, next to Leopard Courier, near KIPS College, Mustaffabad Civil Lines, Faisalabad, Pakistan",,Open · Closes 10 PM,,4.2,13.0,,,
ALPHA DENTAL | Dr. Muhammad Usama Malik | Oral & Maxillofacial Surgeon | Cosmetic Dentist | Implantologist,03329454799,"Alpha Dental, 36-B Harianwala chowk, D Ground Block B People's Colony No 1, Faisalabad, 36000, Pakistan",,Opens soon · 4 PM,"C444+7Q Faisalabad, Pakistan",4.9,54.0,,,
Shaheryar Dental Clinic | Dentist in Faisalabad,03052728815,"W Canal Rd, beside Lyallpur Galleria, Saeed Colony Nasar Ullah Khan Town, Faisalabad, 38000, Pakistan",,Open · Closes 10 PM,,4.9,23.0,,,
life care dental center,03190161003,"C4J6+RJW, Deepo Bazar, opposite humayun PCO, Mansoorabad, Faisalabad, Pakistan",,,,4.9,20.0,,,
Dentology Faisalabad,,"94W7+4G5, Satayana Rd, Shahzad Colony Burhan Mohalla, Faisalabad, 38000, Pakistan",,Open · Closes 10 PM,,5.0,18.0,,,
Dental Heaven,,"Kashmir Underpass, 21 S Hassan Commercial Market, Zia Town, Faisalabad, 38000, Pakistan",http://www.dentalheaven.pk/,Open · Closes 10 PM,"C4RP+CP Faisalabad, Pakistan",4.6,41.0,,,
"Smile360 - Dental Clinic | D Ground, Faisalabad",03213555360,"582, B Block, Saleemi Chowk, Satayana Rd, D Ground Block B People's Colony No 1, Faisalabad, 38000, Pakistan",https://smile360.pk/,Open · Closes 10 PM,"C34X+RX Faisalabad, Pakistan",4.3,12.0,,,
Saleem Dental Clinic Laboratory,03002925156,"C38G+GR3, Lasori Shah Rd, Rail Bazar, Qadimi Shehar, Clock Tower, Faisalabad, 38000, Pakistan",,Open · Closes 7 PM,,2.3,3.0,,,
Muhammad Dental cosmetics.,03007932070,"Muhammad Dental cosmetics. 391 B peoples colony B Hakeem Sultan Ahmad Dawoodi Road Lasalle street, near Lasalle school, Block B People's Colony No 1, Faisalabad, Pakistan",,Open · Closes 8:30 PM,"C443+8V Faisalabad, Pakistan",4.9,49.0,,,
Kohinoor Dental Clinic,03216604383,"P-16, new hamza center, Kohinoor Rd, opposite hockey stadium, Kohinoor Town Faisalabad, 38000, Pakistan",,Closed · Opens 5 PM,"C488+MP Faisalabad, Pakistan",5.0,45.0,,,
